Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
363,Jamaree Bouyea,26,PHO,PG,42,0,13.6,2.3,4.9,.466,0.5,1.6,.299,1.8,3.3,.547,.515,0.5,0.7,.710,0.4,1.4,1.8,1.6,0.7,0.3,0.5,0.9,5.5,,bouyeja01
364,Eric Gordon,37,PHI,SG,6,0,12.3,2.0,3.5,.571,1.3,2.3,.571,0.7,1.2,.571,.762,0.2,0.3,.500,0.2,0.2,0.3,0.5,0.7,0.2,0.5,0.5,5.5,,gordoer01
365,Haywood Highsmith,29,PHO,SF,6,0,13.3,1.7,3.3,.500,1.3,2.2,.615,0.3,1.2,.286,.700,0.8,1.0,.833,1.0,1.2,2.2,1.2,0.7,0.0,0.0,1.3,5.5,,highsha01
366,Jett Howard,22,ORL,SF,55,0,12.6,1.9,4.6,.418,1.0,2.6,.372,0.9,1.9,.481,.526,0.7,0.7,.949,0.4,1.2,1.6,0.8,0.2,0.2,0.3,1.2,5.5,,howarje01
367,Spencer Jones,24,DEN,SF,64,37,22.1,2.1,4.1,.504,0.9,2.3,.396,1.2,1.8,.636,.613,0.5,0.8,.608,1.2,2.1,3.3,0.8,0.8,0.5,0.5,2.7,5.5,,jonessp01
368,Yves Missi,21,NOP,C,65,13,19.3,2.3,4.4,.533,0.0,0.0,.000,2.3,4.4,.535,.533,0.8,1.5,.561,2.8,3.0,5.7,1.2,0.3,1.5,0.8,1.7,5.5,,missiyv01
369,Pete Nance,25,MIL,PF,44,5,15.2,2.2,4.0,.534,1.1,2.5,.441,1.0,1.5,.687,.671,0.0,0.2,.286,0.6,2.1,2.7,0.9,0.3,0.3,0.5,1.2,5.5,,nancepe01
370,John Poulakidas,22,DAL,SG,8,0,16.6,1.9,5.0,.375,1.5,4.4,.343,0.4,0.6,.600,.525,0.3,0.3,1.000,0.5,2.0,2.5,0.8,0.5,0.0,0.4,2.1,5.5,,poulajo01
371,Nae'Qwan Tomlin,25,CLE,PF,60,2,15.2,2.2,4.8,.470,0.4,1.7,.204,1.9,3.0,.621,.507,0.7,0.9,.750,1.2,1.4,2.7,0.8,0.7,0.5,0.4,1.9,5.5,,tomlina01
372,Aaron Holiday,29,HOU,PG,52,1,13.4,1.8,4.5,.402,1.2,3.0,.385,0.7,1.5,.436,.530,0.6,0.7,.865,0.2,0.8,0.9,1.0,0.4,0.1,0.7,1.3,5.4,,holidaa01
373,Sion James,23,CHO,SG,78,19,22.6,1.7,4.4,.379,1.0,2.8,.365,0.7,1.6,.402,.494,1.1,1.2,.845,0.6,2.8,3.4,2.0,0.6,0.3,0.8,1.8,5.4,,jamessi01
374,Doug McDermott,34,SAC,SF,25,0,14.4,1.8,4.5,.407,1.6,4.1,.398,0.2,0.4,.500,.588,0.1,0.1,1.000,0.2,0.9,1.2,0.6,0.2,0.1,0.4,0.8,5.4,,mcderdo01
375,Sidy Cissoko,21,POR,SF,71,26,19.9,1.9,4.7,.399,0.8,2.8,.301,1.0,1.9,.541,.488,0.8,1.2,.651,0.9,1.5,2.3,1.5,0.7,0.4,1.0,2.5,5.3,,cissosi01
376,Jordan Walsh,21,BOS,PF,63,22,17.6,2.0,3.8,.512,0.7,1.7,.391,1.3,2.1,.614,.601,0.6,0.8,.755,1.3,2.7,4.0,0.8,0.7,0.5,0.5,2.0,5.3,,walshjo01
377,Mac McClung,27,2TM,SG,6,0,10.5,2.0,5.3,.375,0.3,2.3,.143,1.7,3.0,.556,.406,0.8,1.0,.833,0.3,0.8,1.2,0.5,0.8,0.5,0.7,1.5,5.2,,mccluma01
377,Mac McClung,27,IND,SG,3,0,11.3,2.3,6.0,.389,0.7,3.3,.200,1.7,2.7,.625,.444,1.0,1.3,.750,0.0,1.3,1.3,0.3,1.7,0.3,0.7,2.0,6.3,,mccluma01
377,Mac McClung,27,CHI,SG,3,0,9.7,1.7,4.7,.357,0.0,1.3,.000,1.7,3.3,.500,.357,0.7,0.7,1.000,0.7,0.3,1.0,0.7,0.0,0.7,0.7,1.0,4.0,,mccluma01
378,Drew Eubanks,28,SAC,C,42,11,13.1,2.2,3.7,.596,0.0,0.2,.143,2.2,3.5,.617,.599,0.8,1.4,.561,0.9,2.1,3.0,0.5,0.4,0.6,0.7,1.4,5.2,,eubandr01
379,Andersson Garcia,25,UTA,SF,5,2,33.8,1.8,5.8,.310,0.2,2.6,.077,1.6,3.2,.500,.328,1.4,1.8,.778,3.4,5.0,8.4,2.8,1.6,0.8,1.4,3.2,5.2,,garcian01
380,Garrison Mathews,29,IND,SG,15,1,13.1,1.4,3.5,.404,1.1,3.1,.370,0.3,0.4,.667,.567,1.3,1.5,.826,0.1,1.0,1.1,0.7,0.4,0.2,0.2,1.3,5.2,,mathega01
381,Blake Wesley,22,POR,SG,28,0,12.6,2.0,4.3,.458,0.4,1.3,.286,1.6,3.0,.529,.500,0.9,1.6,.556,0.3,1.0,1.3,2.2,0.6,0.2,1.1,1.2,5.2,,weslebl01
382,Dylan Cardwell,24,SAC,C,40,1,20.2,2.2,3.9,.571,0.0,0.0,.000,2.2,3.8,.575,.571,0.7,1.2,.531,3.3,4.3,7.5,1.4,0.6,1.4,0.9,3.5,5.1,,cardwdy01
383,Johnny Furphy,21,IND,SG,35,21,18.4,2.0,4.3,.470,0.7,2.0,.324,1.3,2.2,.603,.547,0.5,1.0,.486,0.9,3.5,4.4,1.2,0.6,0.2,0.8,1.9,5.1,,furphjo01
384,Anthony Gill,33,WAS,PF,49,2,15.7,2.2,3.6,.619,0.3,0.8,.325,2.0,2.8,.706,.656,0.4,0.6,.750,1.0,1.8,2.8,1.2,0.6,0.4,0.7,1.5,5.1,,gillan01
385,Ochai Agbaji,25,2TM,SG,61,13,15.7,1.9,4.4,.435,0.5,2.0,.258,1.4,2.4,.586,.494,0.6,0.7,.837,0.7,1.5,2.2,0.7,0.4,0.3,0.5,1.5,5.0,,agbajoc01
